DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-03,105.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-04,106.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-05,104.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-06,104.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-07,103.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-08,102.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-09,101.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-10,99.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-11,95.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2008-12,91.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-01,87.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-02,85.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-03,84.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-04,83.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-05,85.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-06,85.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-07,85.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-08,86.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-09,88.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-10,87.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-11,88.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2009-12,88,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-01,89.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-02,88.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-03,91.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-04,91.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-05,93.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-06,94.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-07,93.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-08,94,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-09,94.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-10,95.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-11,96.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2010-12,96.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-01,96.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-02,98,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-03,97.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-04,98,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-05,98.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-06,97.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-07,98,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-08,98.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-09,97.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-10,97.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-11,97.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2011-12,97,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-01,96.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-02,95.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-03,96.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-04,95.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-05,96.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-06,95.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-07,96.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-08,97,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-09,95,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-10,94.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-11,93.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2012-12,94,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-01,93.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-02,93.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-03,94,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-04,94.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-05,94.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-06,95.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-07,94.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-08,95.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-09,95.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-10,95.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-11,96.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2013-12,96.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-01,96.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-02,97.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-03,96.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-04,98.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-05,97,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-06,96.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-07,97.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-08,95.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-09,96.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-10,96.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-11,96.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2014-12,97.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-01,97.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-02,99.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-03,99.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-04,99.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-05,100.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-06,100.6,
