Date,BRENT_PRICE,OilNewsShock,OilSurprise
2004-01-01,31.236363636363638,0.44154017195044576,0.0
2004-02-01,30.8585,-0.08581088034809001,2.694076911628696
2004-03-01,33.63434782608696,0.2813203494904621,-0.667869132781252
2004-04-01,33.59090909090909,-0.6033863591783445,0.0
2004-05-01,37.56761904761905,0.5969780334499486,0.0
2004-06-01,35.18363636363636,-0.0108376887124877,-0.8697021883599181
2004-07-01,38.221363636363634,-0.18225670383212336,0.0
2004-08-01,42.74409090909091,0.41307128781677527,0.0
2004-09-01,43.19681818181818,0.020228290770040784,-1.6071356282661176
2004-10-01,49.776666666666664,0.8379242805985881,0.0
2004-11-01,43.110454545454544,-0.22862171681724705,0.0
2004-12-01,39.60217391304348,-0.8713033012256369,-3.1596202022297115
2005-01-01,44.31238095238095,0.2661415106984759,2.159954265104334
2005-02-01,45.475,0.33553585232891664,0.0
2005-03-01,53.071739130434786,0.5751930208570617,3.0421593263989704
2005-04-01,51.88380952380952,-0.5666684540474421,0.0
2005-05-01,48.64545454545455,-0.10846214234396483,0.0
2005-06-01,54.35454545454545,0.503989891285571,0.3374585671050337
2005-07-01,57.52,0.563468443674944,0.0
2005-08-01,63.98347826086956,0.718752317958703,0.0
2005-09-01,62.908181818181816,1.1148474280757803,-1.6643240899907965
2005-10-01,58.53857142857142,-1.0533079897254418,0.0
2005-11-01,55.24181818181818,-1.2341397270208476,0.0
2005-12-01,56.84136363636364,-0.03924653272715153,2.9526028347999587
2006-01-01,62.77409090909091,0.19348656521120655,-0.15180339953147387
2006-02-01,60.21,-0.6518974343740799,0.0
2006-03-01,62.06478260869565,-0.07863751143875931,-1.827456416166897
2006-04-01,70.173,0.6237237514902355,0.0
2006-05-01,69.77695652173912,-0.3540726086115883,0.0
2006-06-01,68.5559090909091,-0.31545669169778073,-1.1833322763183536
2006-07-01,73.67428571428572,0.28310573574819875,0.0
2006-08-01,73.2304347826087,-0.1782674258490434,0.0
2006-09-01,61.95857142857143,-1.0773599355773278,-1.1265879387430244
2006-10-01,57.808181818181815,-0.713482353040865,-1.0147867419479089
2006-11-01,58.76136363636363,-0.6336040683167151,0.0
2006-12-01,62.41952380952381,0.06279864252157119,1.7594994847040366
2007-01-01,53.748695652173915,-0.8815456486489374,0.0
2007-02-01,57.516999999999996,0.5012149220613668,0.0
2007-03-01,62.05045454545455,0.001407425353364094,-0.689195928658093
2007-04-01,67.64428571428572,0.23160567911181562,0.0
2007-05-01,67.36478260869566,-0.29762578435044224,0.0
2007-06-01,71.04571428571428,0.16535936703141824,0.0
2007-07-01,76.80863636363637,0.18880782596297765,0.0
2007-08-01,70.76086956521739,-0.5681005018139146,0.0
2007-09-01,76.929,1.0001793364551819,1.1859376565060231
2007-10-01,82.34,0.10198579635873983,0.0
2007-11-01,92.53045454545455,0.6128810878526092,0.0
2007-12-01,90.99,-0.28925766272037334,-0.831933850195447
2008-01-01,92.13391304347826,-0.13761859893639725,0.0
2008-02-01,95.08047619047619,0.2608943406309443,-2.502179452682496
2008-03-01,103.45190476190476,1.0041522754151373,4.248635030337986
2008-04-01,109.07136363636364,0.06105421820469373,0.0
2008-05-01,123.11181818181818,1.3761117623094206,0.0
2008-06-01,132.32238095238094,1.1146900143738558,0.0
2008-07-01,133.20652173913044,0.5718559213874487,0.0
2008-08-01,113.24333333333334,-0.46951606860925593,0.0
2008-09-01,97.97363636363637,0.2624296377427312,-0.7550683370320911
2008-10-01,71.58217391304348,-2.8871890830034372,-5.276020721573241
2008-11-01,52.2995,-1.0616536689944311,0.0
2008-12-01,39.70782608695652,-0.2694383119813248,-2.158283290921576
2009-01-01,43.09227272727273,1.9606284214617051,0.0
2009-02-01,43.326499999999996,0.07516411002784573,0.0
2009-03-01,46.540454545454544,1.147539934894266,1.9198599485884802
2009-04-01,50.279545454545456,-0.6897706760210826,0.0
2009-05-01,57.36904761904762,0.9371855413099275,2.9437593321208158
2009-06-01,68.60954545454545,1.0697891624848404,0.0
2009-07-01,64.49217391304347,-0.8584497443655938,0.0
2009-08-01,72.50857142857143,1.168814769853965,0.0
2009-09-01,67.56409090909091,0.12040182675501683,0.7555170574307397
2009-10-01,72.76954545454545,0.8389514187941388,0.0
2009-11-01,76.65761904761905,-0.14885123884919385,0.0
2009-12-01,74.48652173913044,-0.8450010635890879,1.281714088367376
2010-01-01,76.28285714285714,-0.48138524271346517,0.0
2010-02-01,73.639,-0.21414063782099357,0.0
2010-03-01,78.82739130434783,-0.5233596426999279,1.5544096531485574
2010-04-01,84.71818181818182,-0.18357082280701043,0.0
2010-05-01,75.8052380952381,-1.323271263136311,0.0
2010-06-01,74.7609090909091,0.525869862586917,0.0
2010-07-01,75.40590909090909,0.04754485195679738,0.0
2010-08-01,77.03954545454545,-0.07161403937119563,0.0
2010-09-01,77.71272727272728,-0.1487126906627298,0.0
2010-10-01,82.6647619047619,0.7103428057964077,-0.4584134038079942
2010-11-01,85.24090909090908,0.09961570270309454,0.0
2010-12-01,91.54173913043478,-0.1169385540431611,1.0894693635716877
2011-01-01,96.58714285714285,-0.13316626923827257,0.0
2011-02-01,103.6405,0.1062714600527813,0.0
2011-03-01,114.64347826086957,1.0735774048683804,0.0
2011-04-01,123.45380952380954,0.9191065185128502,0.0
2011-05-01,114.98272727272727,-0.754449697870264,0.0
2011-06-01,113.83318181818181,-0.5053044665651589,1.5367288900477356
2011-07-01,116.63285714285715,-0.18652846565540906,0.0
2011-08-01,110.3095652173913,-1.0228125161863917,0.0
2011-09-01,112.9740909090909,0.43959634290727284,0.0
